0,VAMOS A DISCUTIR SOBRE PARTIDOS POLITICOS,*,*,Si#Comma me parece <set name="topic">politica</set>,topicos.aiml
0,*,*,POLITICA,Sigo pensando#Comma y muy claramente#Comma que el partido MIRA es el mejor,topicos.aiml
0,AMI ME GUSTA EL PARTIDO LIBERAL,*,POLITICA,Respeto mucho tu opinion#Comma somos humanos no? pero te invito a mirar sobre el partido MIRA https://partidomira.com/,topicos.aiml
